Sentence,label
Generating natural questions from an image is a semantic task that requires using visual and language modality to learn multimodal representations .,research-problem
Here the au-thors have proposed the challenging task of generating natural questions for an image .,research-problem
Deep Learning For Smile Recognition,research-problem
"Inspired by recent successes of deep learning in computer vision , we propose a novel application of deep convolutional neural networks to facial expression recognition , in particular smile recognition .",research-problem
"Due to training time constraints , some parameters have been fixed to reasonable and empirical values , such as the size of convolutions ( 5 5 pixels , 32 feature maps ) and the size of subsamplings ( 2 2 pixels using max pooling ) .",experimental-setup
"All layers use ReLU units , except of softmax being used in the output layer .",experimental-setup
The learning rate is fixed to ? = 0.01 and not subject to model selection as it would significantly prolong the model selection .,experimental-setup
The entire database has been randomly split into a 60% / 20 % / 20 % training / validation / test ratio .,experimental-setup
Stochastic gradient descent with a batch size of 500 is used .,experimental-setup
Each model was trained for 50 epochs in the model selection .,experimental-setup
"The same considerations apply to the momentum , which is fixed to = 0.9 .",experimental-setup
The model is implemented using Lasagne 4 and the generated CUDA code is executed on a Tesla K40c 9 as training on a GPU allows to perform a comprehensive model selection in a feasible amount of time .,experimental-setup
"contains the four parameters to be optimized : the number of convolutions , the number of hidden layers , the number of units per hidden layer and the dropout factor .",experimental-setup
"FLOWQA yields substantial improvement over existing models on both datasets ( + 7.2 % F 1 on CoQA , + 4.0 % F 1 on QuAC ) .",result
We find that FLOW is a critical component .,result
"Removing QHier - RNN has a minor impact ( 0.1 % on both datasets ) , while removing FLOW results in a substantial performance drop , with or without using QHierRNN ( 2 - 3 % on QuAC , 4.1 % on CoQA ) .",result
"By comparing 0 - Ans and 1 - Ans on two datasets , we can see that providing gold answers is more crucial for QuAC .",result
"Based on the training time each epoch takes ( i.e. , time needed for passing through the data once ) , the speedup is 8.1x on CoQA and 4.2 x on QuAC .",result
"applied BiDAF ++ , a strong extractive QA model to QuAC dataset .",baseline
"Here we briefly describe the ablated systems : "" - FLOW "" removes the flow component from IF layer ( Eq. 2 in Section 3.2 ) , "" - QHIER - RNN "" removes the hierarchical LSTM layers on final question vectors ( Eq. 7 in Section 3.3 ) .",baseline
"We present FLOWQA , a model designed for conversational machine comprehension .",model
FLOWQA consists of two main components : a base neural model for single - turn MC and a FLOW mechanism that encodes the conversation history .,model
"This FLOW mechanism is also remarkably effective at tracking the world states for sequential instruction understanding ( Long et al. , 2016 ) : after mapping world states as context and instructions as questions , FLOWQA can interpret a sequence of inter-connected instructions and generate corresponding world state changes as answers .",model
"The FLOW mechanism can be viewed as stacking single - turn QA models along the dialog progression ( i.e. , the question turns ) and building information flow along the dialog .",model
"This information transfer happens for each context word , allowing rich information in the reasoning process to flow .",model
"Instead of using the shallow history , i.e. , previous questions and answers , we feed the model with the entire hidden representations generated during the process of answering previous questions .",model
"To handle this issue , we propose an alternating parallel processing structure , which alternates between sequentially processing one dimension in parallel of the other dimension , and thus speeds up training significantly .",model
FLOWQA : GRASPING FLOW IN HISTORY FOR CONVERSATIONAL MACHINE COMPREHENSION,research-problem
Recently proposed conversational machine comprehension ( MC ) datasets aim to enable models to assist in such information seeking dialogs .,research-problem
Our code can be found in https://github.com/momohuang/FlowQA.,code
"This paper introduces a neural variational framework for generative models of text , inspired by the variational autoencoder .",model
"The principle idea is to build an inference network , implemented by a deep neural network conditioned on text , to approximate the intractable distributions over the latent variables .",model
"Instead of providing an analytic approximation , as in traditional variational Bayes , neural variational inference learns to model the posterior probability , thus endowing the model with strong generalis ation abilities .",model
A primary feature of NVDM is that each word is generated directly from a dense continuous document representation instead of the more common binary semantic vector .,model
The NASM ( is a supervised conditional model which imbues LSTMs with a latent stochastic attention mechanism to model the semantics of question - answer pairs and predict their relatedness .,model
The attention model is designed to focus on the phrases of an answer that are strongly connected to the question semantics and is modelled by a latent distribution .,model
"Bayesian inference provides a natural safeguard against overfitting , especially as the training sets available for this task are small .",model
"By using the reparameteris ation method , the inference network is trained through back - propagating unbiased and low variance gradients w.r.t. the latent variables .",model
"Within this framework , we propose a Neural Variational Document Model ( NVDM ) for document modelling and a Neural Answer Selection Model ( NASM ) for question answering , a task that selects the sentences that correctly answer a factoid question from a set of candidate sentences .",model
Neural Variational Inference for Text Processing Phil Blunsom 12,research-problem
"We initialized word embedding with 300d Glo Ve vectors pre-trained from the 840B Common Crawl corpus ( Pennington , Socher , and Manning 2014 ) , while the word embeddings for the out - of - vocabulary words were initialized randomly .",hyperparameter
The dropout was applied after the word and character embedding layers with a keep rate of 0.5 .,hyperparameter
It was also applied before the fully - connected layers with a keep rate of 0.8 .,hyperparameter
"The batch normalization was applied on the fully - connected layers , only for the one - way type datasets .",hyperparameter
The RMSProp optimizer with an initial learning rate of 0.001 was applied .,hyperparameter
The learning rate was decreased by a factor of 0.85 when the dev accuracy does not improve .,hyperparameter
All weights except embedding matrices are constrained by L2 regularization with a regularization constant ? = 10 ?6 .,hyperparameter
"The sequence lengths of the sentence are all different for each dataset : 35 for SNLI , 55 for MultiNLI , 25 for Quora question pair and 50 for TrecQA .",hyperparameter
We also randomly initialized character embedding with a 16d vector and extracted 32d character representation with a convolutional network .,hyperparameter
"For the densely - connected recurrent layers , we stacked 5 layers each of which have 100 hidden units .",hyperparameter
"For the bottleneck component , we set 200 hidden units as encoded features of the autoencoder with a dropout rate of 0.2 .",hyperparameter
We set 1000 hidden units with respect to the fullyconnected layers .,hyperparameter
"Inspired by Densenet ) , we propose a densely - connected recurrent network where the recurrent hidden features are retained to the uppermost layer .",model
"In addition , instead of the conventional summation operation , the concatenation operation is used in combination with the attention mechanism to preserve co-attentive information better .",model
The proposed architecture shown in is called DRCN which is an abbreviation for Densely - connected Recurrent and Co -attentive neural Network .,model
The proposed DRCN can utilize the increased representational power of deeper recurrent networks and attentive information .,model
"Furthermore , to alleviate the problem of an ever- increasing feature vector size due to concatenation operations , we adopted an autoencoder and forwarded a fixed length vector to the higher layer recurrent module as shown in the figure .",model
Semantic Sentence Matching with Densely - connected Recurrent and Co - attentive Information,research-problem
"Sentence matching is widely used in various natural language tasks such as natural language inference , paraphrase identification , and question answering .",research-problem
"Although the number of parameters in the DRCN significantly decreased as shown in , we could see that the performance was rather higher because of the regularization effect .",ablation-analysi
The result shows that the dense connections over attentive features are more effective .,ablation-analysi
"The models ( 5 - 9 ) which have connections between layers , are more robust to the increased depth of network , however , the performances of ( 10 - 11 ) tend to degrade as layers get deeper .",ablation-analysi
"In addition , the models with dense connections rather than residual connections , have higher performance in general .",ablation-analysi
"In , we removed dense connections over both co-attentive and recurrent features , and the performance degraded to 88.5 % .",ablation-analysi
"The results of ( 8 - 9 ) demonstrate that the dense connection using concatenation operation over deeper layers , has more powerful capability retaining collective knowledge to learn textual semantics .",ablation-analysi
The result of ( 10 ) shows that the connections among the layers are important to help gradient flow .,ablation-analysi
"And , the result of ( 11 ) shows that the attentive information functioning as a soft - alignment is significantly effective in semantic sentence matching .",ablation-analysi
"shows that the connection between layers is essential , especially in deep models , endowing more representational power , and the dense connection is more effective than the residual connection .",ablation-analysi
Comparison to baseline DCN with CoVe. DCN + outperforms the baseline by 3.2 % exact match accuracy and 3.2 % F1 on the SQuAD development set .,result
"shows the consistent performance gain of DCN + over the baseline across question types , question lengths , and answer lengths .",result
"In particular , DCN + provides a significant advantage for long questions .",result
"To address this problem , we propose a mixed objective that combines traditional cross entropy loss over positions with a measure of word overlap trained with reinforcement learning .",model
We obtain the latter objective using self - critical policy learning in which the reward is based on word overlap between the proposed answer and the ground truth answer .,model
"In addition to our mixed training objective , we extend the Dynamic Coattention Network ( DCN ) by with a deep residual coattention encoder .",model
DCN + : MIXED OBJECTIVE AND DEEP RESIDUAL COATTENTION FOR QUESTION ANSWERING,research-problem
"To preprocess the corpus , we use the reversible tokenizer from Stanford CoreNLP .",experimental-setup
"For word embeddings , we use GloVe embeddings pretrained on the 840B Common Crawl corpus as well as character ngram embeddings by .",experimental-setup
"In addition , we concatenate these embeddings with context vectors ( CoVe ) trained on .",experimental-setup
"For out of vocabulary words , we set the embeddings and context vectors to zero .",experimental-setup
We perform word dropout on the document which zeros a word embedding with probability 0.075 .,experimental-setup
"In addition , we swap the first maxout layer of the highway maxout network in the DCN decoder with a sparse mixture of experts layer .",experimental-setup
"We note that the deep residual coattention yielded the highest contribution to model performance , followed by the mixed objective .",ablation-analysi
The sparse mixture of experts layer in the decoder added minor improvements to the model performance . :,ablation-analysi
"Our final model achieves the accuracy of 88.6 % , the best result observed on SNLI , while our enhanced sequential encoding model attains an accuracy of 88.0 % , which also outperform the previous models .",result
"The table shows that our ESIM model achieves an accuracy of 88.0 % , which has already outperformed all the previous models , including those using much more complicated network architectures .",result
"In general , adding intra-sentence attention yields further improvement , which is not very surprising as it could help align the relevant text spans between premise and hypothesis .",result
"We ensemble our ESIM model with syntactic tree - LSTMs based on syntactic parse trees and achieve significant improvement over our best sequential encoding model ESIM , attaining an accuracy of 88.6 % .",result
"We use the Adam method ( Kingma and Ba , 2014 ) for optimization .",hyperparameter
"We use dropout with a rate of 0.5 , which is applied to all feedforward connections .",hyperparameter
We use pre-trained 300 - D Glove 840B vectors to initialize our word embeddings .,hyperparameter
The first momentum is set to be 0.9 and the second 0.999 .,hyperparameter
The initial learning rate is 0.0004 and the batch size is 32 .,hyperparameter
"All hidden states of LSTMs , tree - LSTMs , and word embeddings have 300 dimensions .",hyperparameter
Out - of - vocabulary ( OOV ) words are initialized randomly with Gaussian samples .,hyperparameter
"While some previous top - performing models use rather complicated network architectures to achieve the state - of - the - art results , we demonstrate in this paper that enhancing sequential inference models based on chain models can outperform all previous results , suggesting that the potentials of such sequential inference approaches have not been fully exploited yet .",model
"We show that by explicitly encoding parsing information with recursive networks in both local inference modeling and inference composition and by incorporating it into our framework , we achieve additional improvement , increasing the performance to a new state of the art with an 88.6 % accuracy .",model
Enhanced LSTM for Natural Language Inference,research-problem
Reasoning and inference are central to human and artificial intelligence .,research-problem
"Specifically , natural language inference ( NLI ) is concerned with determining whether a naturallanguage hypothesis h can be inferred from a premise p , as depicted in the following example from MacCartney ( 2009 ) , where the hypothesis is regarded to be entailed from the premise .",research-problem
Exploring syntax for NLI is very attractive to us .,research-problem
"As we can see , our system obtains state - of the - art results by achieving an EM score of 71.7 and a F 1 score of 74.2 on the test set .",result
Notice that SLQA + has reached a comparable result compared to our approach .,result
"To address the above issue , we propose a read - then - verify system that aims to be robust to unanswerable questions in this paper .",model
"As shown in , our system consists of two components : ( 1 ) a no-answer reader for extracting candidate answers and detecting unanswerable questions , and ( 2 ) an answer verifier for deciding whether or not the extracted candidate is legitimate .",model
"First , we augment existing readers with two auxiliary losses , to better handle answer extraction and no - answer detection respectively .",model
We solve this problem by introducing an independent span loss that aims to concentrate on the answer extraction task regardless of the answerability of the question .,model
"In order to not conflict with no - answer detection , we leverage a multi-head pointer network to generate two pairs of span scores , where one pair is normalized with the no -answer score and the other is used for our auxiliary loss .",model
"Besides , we present another independent noanswer loss to further alleviate the confliction , by focusing on the no-answer detection task without considering the shared normalization of answer extraction .",model
"Second , in addition to the standard reading phase , we introduce an additional answer verifying phase , which aims at finding local entailment that supports the answer by comparing the answer sentence with the question .",model
"Inspired by recent advances in natural language inference ( NLI ) , we investigate three different architectures for the answer verifying task .",model
"The first one is a sequential model that takes two sentences as along sequence , while the second one attempts to capture interactions between two sentences .",model
The last one is a hybrid model that combines the above two models to test if the performance can be further improved .,model
Read + Verify : Machine Reading Comprehension with Unanswerable Questions,research-problem
"We run a grid search on ? and ? among [ 0.1 , 0.3 , 0.5 , 0.7 , 1 , 2 ] .",experimental-setup
"As for answer verifiers , we use the original configuration from for Model - I. For Model - II , the Adam optimizer ( Kingma and Ba 2014 ) with a learning rate of 0.0008 is used , the hidden size is set as 300 , and a dropout ) of 0.3 is applied for preventing overfitting .",experimental-setup
"The batch size is 48 for the reader , 64 for Model - II , and 32 for Model - I as well as Model - III .",experimental-setup
"We use the Glo Ve 100D embeddings for the reader , and 300D embeddings for Model - II and Model - III .",experimental-setup
"We utilize the nltk tokenizer 3 to preprocess passages and questions , as well as split sentences .",experimental-setup
"Removing the independent span loss ( indep - I ) results in a performance drop for all answerable questions ( HasAns ) , indicating that this loss helps the model in better identifying the answer boundary .",ablation-analysi
"Ablating independent no - answer loss ( indep - II ) , on the other hand , causes little influence on HasAns , but leads to a severe decline on no - answer accuracy ( NoAns ACC ) .",ablation-analysi
"Ablating two auxiliary losses , however , leads to an over all degradation on the curve , but it still outperforms the baseline by a large margin .",ablation-analysi
"Finally , deleting both of two losses causes a degradation of more than 1.5 points on the over all performance in terms of F1 , with or without ELMo embeddings .",ablation-analysi
"Adding ELMo embeddings , however , does not boost the performance .",ablation-analysi
We find that the improvement on noanswer accuracy is significant .,ablation-analysi
We observe that RMR + ELMo + Verifier achieves the best precision when the recall is less than 80 .,ablation-analysi
"Within this domain , we propose an approach that learns to both select and explain answers , when the only supervision available is for which answer is correct ( but not how to explain it ) .",approach
"Intuitively , our approach chooses the justifications that provide the most help towards ranking the correct answers higher than incorrect ones .",approach
"More formally , our neural network approach alternates between using the current model with max - pooling to choose the highest scoring justifications for correct answers , and optimizing the answer ranking model given these justifications .",approach
Tell Me Why : Using Question Answering as Distant Supervision for Answer Justification,research-problem
"Developing interpretable machine learning ( ML ) models , that is , models where a human user can understand what the model is learning , is considered by many to be crucial for ensuring usability and accelerating progress .",research-problem
Iterative Alternating Neural Attention for Machine Reading,research-problem
"We propose a novel neural attention architecture to tackle machine comprehension tasks , such as answering Cloze - style queries with respect to a document .",research-problem
"To train our model , we used stochastic gradient descent with the ADAM optimizer ( Kingma and Ba , 2014 ) , with an initial learning rate of 0.001 .",experimental-setup
"We set the batch size to 32 and we decay the learning rate by 0.8 if the accuracy on the validation set does not increase after a half - epoch , i.e. 2000 batches ( for CBT ) and 5000 batches for ( CNN ) .",experimental-setup
"We initialize all weights of our model by sampling from the normal distribution N ( 0 , 0.05 ) .",experimental-setup
"Following , the GRU recurrent weights are initialized to be orthogonal and biases are initialized to zero .",experimental-setup
"Our model is implemented in Theano , using the Keras library .",experimental-setup
"In order to stabilize the learning , we clip the gradients if their norm is greater than 5 and those marked with 2 are from .",experimental-setup
"We found that setting embedding regularization to 0.0001 , T = 8 , d = 384 , h = 128 , s = 512 worked robustly across the datasets .",experimental-setup
"The key contribution of this work is that we propose Attentive Pooling ( AP ) , a two - way attention mechanism , that significantly improves such discriminative models ' performance on pair - wise ranking or classification , by enabling a joint learning of the representations of both inputs as well as their similarity measurement .",model
"Specifically , AP enables the pooling layer to be aware of the current input pair , in a way that information from the two input items can directly influence the computation of each other 's representations .",model
"The main idea in AP consists of learning a similarity measure over projected segments ( e.g. trigrams ) of the two items in the input pair , and using the similarity scores between the segments to compute attention vectors in both directions .",model
"Next , the attention vectors are used to perform pooling .",model
"Neural networks ( NN ) with attention mechanisms have recently proven to be successful at different computer vision ( CV ) and natural language processing ( NLP ) tasks such as image captioning , machine translation and factoid question answering .",research-problem
"However , most recent work on neural attention models have focused on one - way attention mechanisms based on recurrent neural networks designed . for generation tasks .",research-problem
"We use a context window of size 3 for Insurance QA , while we set this parameter to 4 for TREC - QA and Wiki QA .",experimental-setup
"For AP - CNN , AP - biLSTM and QA - LSTM , we also use a learning rate schedule that decreases the learning rate ?",experimental-setup
"Using the selected hyperparameters , the best results are normally achieved using between 15 and 25 training epochs .",experimental-setup
"In our experiments , the four NN architectures QA - CNN , AP - CNN , QA - biLSTM and AP - biLSTM are implemented using Theano .",experimental-setup
"shows that our single model , trained with two styles and controlled with the NQA style , pushed forward the state - of - the - art by a significant margin .",result
The evaluation scores of the model controlled with the NLG style were low because the two styles are different .,result
"Also , our model without multi-style learning ( trained with only the NQA style ) outperformed the baselines in terms of ROUGE - L .",result
"In this study , we propose Masque , a generative model for multi-passage RC .",model
"We introduce the pointer - generator mechanism for generating an abstractive answer from the question and multiple passages , which covers various answer styles .",model
We introduce multi-style learning that enables our model to control answer styles and improves RC for all styles involved .,model
We extend the mechanism to a Transformer based one that allows words to be generated from a vocabulary and to be copied from the question and passages .,model
"We also extend the pointer - generator to a conditional decoder by introducing an artificial token corresponding to each style , as in .",model
"For each decoding step , it controls the mixture weights over three distributions with the given style ( ) .",model
Multi - Style Generative Reading Comprehension,research-problem
"This study tackles generative reading comprehension ( RC ) , which consists of answering questions based on textual evidence and natural language generation ( NLG ) .",research-problem
"Recently , reading comprehension ( RC ) , a challenge to answer a question given textual evidence provided in a document set , has received much attention .",research-problem
"Current mainstream studies have treated RC as a process of extracting an answer span from one passage or multiple passages , which is usually done by predicting the start and end positions of the answer .",research-problem
"In this study , we propose Masque , a generative model for multi-passage RC .",research-problem
"We train the model with the Adadelta optimizer ( Zeiler , 2012 ) with a batch size 60 for Triv - ia QA and 45 for SQuAD .",hyperparameter
The Glo Ve 300 dimensional word vectors released by are used for word embeddings .,hyperparameter
"On SQuAD , we use a dimensionality of size 100 for the GRUs and of size 200 for the linear layers employed after each attention mechanism .",hyperparameter
"We find for TriviaQA , likely because there is more data , using a larger dimensionality of 140 for each GRU and 280 for the linear layers is beneficial .",hyperparameter
"During training , we maintain an exponential moving average of the weights with a decay rate of 0.999 .",hyperparameter
In this paper we start by proposing an improved pipelined method which achieves state - of - the - art results .,model
"Then we introduce a method for training models to produce accurate per-paragraph confidence scores , and we show how combining this method with multiple paragraph selection further increases performance .",model
We propose a TF - IDF heuristic to select which paragraphs to train and test on .,model
"To handle the noise this creates , we use a summed objective function that marginalizes the model 's output over all locations the answer text occurs .",model
"We then use a shared - normalization objective where paragraphs are processed independently , but the probability of an answer candidate is marginalized over all paragraphs sampled from the same document .",model
"We resolve these problems by sampling paragraphs from the context documents , including paragraphs that do not contain an answer , to train on .",model
Simple and Effective Multi - Paragraph Reading Comprehension,research-problem
We consider the problem of adapting neural paragraph - level question answering models to the case where entire documents are given as input .,research-problem
The recent success of neural models at answering questions given a related paragraph suggests neural models have the potential to be a key part of a solution to this problem .,research-problem
Recurrent Relational Networks,research-problem
"We introduce the recurrent relational network , a general purpose module that operates on a graph representation of objects .",research-problem
Code to reproduce all experiments can be found at github.com/rasmusbergpalm/recurrent-relationalnetworks. designed as a set of prerequisite tasks for reasoning .,code
"As can be seen , the bigram model performs better than the unigram model and the addition of the IDF - weighted word count features significantly improve performance for both models by 10 % - 15 % .",result
"As can be seen in , our best models ( bigram + count ) outperform all baselines and prior work on MAP and are very close to the best model proposed by Yih et al. on MRR .",result
"In this paper , we show that a neural network - based sentence model can be applied to the task of answer sentence selection .",model
"We construct two distributional sentence models ; first a bag - of - words model , and second , a bigram model based on a convolutional neural network .",model
"Assuming a set of pre-trained semantic word embeddings , we train a supervised model to learn a semantic matching between question and answer pairs .",model
"We also present an enhanced version of this model , which combines the signal of the distributed matching algorithm with two simple word matching features .",model
Deep Learning for Answer Sentence Selection,research-problem
We used word embeddings ( d = 50 ) that were computed using Collobert and Weston 's neural language model and provided by Turian et al ..,experimental-setup
"The other model weights were randomly intitialised using a Gaussian distribution ( = 0 , ? = 0.01 ) .",experimental-setup
All hyperparameters were optimised via grid search on the MAP score on the development data .,experimental-setup
"L - BFGS was used to train the logistic regression classifier , with L2 regulariser of 0.01 .",experimental-setup
We use the AdaGrad algorithm for training .,experimental-setup
"The first , WIKIHOP , uses sets of WIKIPEDIA articles where answers to queries about specific properties of an entity can not be located in the entity 's article .",dataset
"In the second dataset , MEDHOP , the goal is to establish drug - drug interactions based on scientific findings about drugs and proteins and their interactions , found across multiple MEDLINE abstracts .",dataset
"For both datasets we draw upon existing Knowledge Bases ( KBs ) , WIKIDATA and DRUG - BANK , as ground truth , utilizing distant supervision ) to induce the data - similar to and .",dataset
"The Document - cue baseline can predict more than a third of the samples correctly , for both datasets , even after sub - sampling frequent document - answer pairs for WIKIHOP .",result
Both neural RC models are able to largely retain or even improve their strong performance when answers are masked : they are able to leverage the textual context of the candidate expressions .,result
"In the masked setup all baseline models reliant on lexical cues fail in the face of the randomized answer expressions , since the same answer option has different placeholders in different samples .",result
"In contrast , for the open - domain setting of WIKIHOP , a reduction of the answer vocabulary to 100 random single - token mask expressions clearly helps the model in selecting a candidate span , compared to the multi-token candidate expressions in the unmasked setting .",result
Constructing Datasets for Multi-hop Reading Comprehension Across Documents,research-problem
"Most Reading Comprehension methods limit themselves to queries which can be answered using a single sentence , paragraph , or document .",research-problem
Contemporary end - to - end Reading Comprehension ( RC ) methods can learn to extract the correct answer span within a given text and approach human - level performance .,research-problem
"Furthermore , our boundary model has outperformed the sequence model , achieving an exact match score of 61.1 % and an F1 score of 71.2 % .",result
"In particular , in terms of the exact match score , the boundary model has a clear advantage over the sequence model .",result
"While by adding Bi - Ans - Ptr with bi-directional pre-processing LSTM , we can get 1.2 % improvement in F1 .",result
"Specifically , observing that in the SQuAD dataset many questions are paraphrases of sentences from the original text , we adopt a match - LSTM model that we developed earlier for textual entailment .",model
"We further adopt the Pointer Net ( Ptr - Net ) model developed by , which enables the predictions of tokens from the input sequence only rather than from a larger fixed vocabulary and thus allows us to generate answers that consist of multiple tokens from the original text .",model
We propose two ways to apply the Ptr - Net model for our task : a sequence model and a boundary model .,model
We also further extend the boundary model with a search mechanism .,model
MACHINE COMPREHENSION USING MATCH - LSTM AND ANSWER POINTER,research-problem
Machine comprehension of text is an important problem in natural language processing .,research-problem
"We first tokenize all the passages , questions and answers .",experimental-setup
We use word embeddings from GloVe to initialize the model .,experimental-setup
We use ADAMAX with the coefficients ? 1 = 0.9 and ? 2 = 0.999 to optimize the model .,experimental-setup
