subject,predicate,object,label,file path
Hyperparameters,has,Early stopping,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Early stopping,to determine,number of epochs,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Hyperparameters,has,Label smoothing,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Label smoothing,employed for,GEO,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Label smoothing,employed for,ATIS,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Hyperparameters,has,Word embeddings,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Word embeddings,shared by,table encoder,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Word embeddings,shared by,input encoder,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Word embeddings,initialized by,GloVe,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Hyperparameters,used,RMSProp optimizer,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
RMSProp optimizer,to train,models,hyperparameters,/content/training-data/semantic_parsing/2/triples/hyperparameters.txt
Contribution,has,Model,model,/content/training-data/semantic_parsing/2/triples/model.txt
Model,has,second decoder,model,/content/training-data/semantic_parsing/2/triples/model.txt
second decoder,fills in,missing details,model,/content/training-data/semantic_parsing/2/triples/model.txt
missing details,by conditioning on,natural language input,model,/content/training-data/semantic_parsing/2/triples/model.txt
missing details,by conditioning on,sketch,model,/content/training-data/semantic_parsing/2/triples/model.txt
Model,has,explicitly share,model,/content/training-data/semantic_parsing/2/triples/model.txt
explicitly share,has,knowledge,model,/content/training-data/semantic_parsing/2/triples/model.txt
knowledge,of,coarse structures,model,/content/training-data/semantic_parsing/2/triples/model.txt
coarse structures,for,"examples that have the same sketch ( i.e. , basic meaning ",model,/content/training-data/semantic_parsing/2/triples/model.txt
Model,has,first decoder,model,/content/training-data/semantic_parsing/2/triples/model.txt
first decoder,focuses on,predicting,model,/content/training-data/semantic_parsing/2/triples/model.txt
predicting,has,rough sketch,model,/content/training-data/semantic_parsing/2/triples/model.txt
rough sketch,of,meaning representation,model,/content/training-data/semantic_parsing/2/triples/model.txt
Model,has,decomposition,model,/content/training-data/semantic_parsing/2/triples/model.txt
decomposition,disentangles,high - level from low - level semantic information,model,/content/training-data/semantic_parsing/2/triples/model.txt
high - level from low - level semantic information,enables,decoders,model,/content/training-data/semantic_parsing/2/triples/model.txt
decoders,to model,meaning,model,/content/training-data/semantic_parsing/2/triples/model.txt
meaning,at,different levels of granularity,model,/content/training-data/semantic_parsing/2/triples/model.txt
Model,has,generating,model,/content/training-data/semantic_parsing/2/triples/model.txt
generating,has,sketch,model,/content/training-data/semantic_parsing/2/triples/model.txt
sketch,has,decoder,model,/content/training-data/semantic_parsing/2/triples/model.txt
decoder,knows,basic meaning of the utterance,model,/content/training-data/semantic_parsing/2/triples/model.txt
sketch,use it,model,model,/content/training-data/semantic_parsing/2/triples/model.txt
model,as,global context,model,/content/training-data/semantic_parsing/2/triples/model.txt
global context,to improve,prediction,model,/content/training-data/semantic_parsing/2/triples/model.txt
prediction,of,final details,model,/content/training-data/semantic_parsing/2/triples/model.txt
Model,has,sketch,model,/content/training-data/semantic_parsing/2/triples/model.txt
sketch,encoded into,vectors,model,/content/training-data/semantic_parsing/2/triples/model.txt
vectors,to guide,decoding,model,/content/training-data/semantic_parsing/2/triples/model.txt
sketch,constrains,generation process,model,/content/training-data/semantic_parsing/2/triples/model.txt
Model,propose to decompose,decoding process,model,/content/training-data/semantic_parsing/2/triples/model.txt
decoding process,into,two stages,model,/content/training-data/semantic_parsing/2/triples/model.txt
Contribution,has research problem,Neural Semantic Parsing,research-problem,/content/training-data/semantic_parsing/2/triples/research-problem.txt
Contribution,has research problem,Semantic parsing,research-problem,/content/training-data/semantic_parsing/2/triples/research-problem.txt
Contribution,has,Results,results,/content/training-data/semantic_parsing/2/triples/results.txt
Results,find,tableaware input encoder,results,/content/training-data/semantic_parsing/2/triples/results.txt
tableaware input encoder,is,critical,results,/content/training-data/semantic_parsing/2/triples/results.txt
critical,for,doing well,results,/content/training-data/semantic_parsing/2/triples/results.txt
doing well,on,this task,results,/content/training-data/semantic_parsing/2/triples/results.txt
Results,has,our method,results,/content/training-data/semantic_parsing/2/triples/results.txt
our method,performs,competitively,results,/content/training-data/semantic_parsing/2/triples/results.txt
competitively,despite the use of,relatively simple decoders,results,/content/training-data/semantic_parsing/2/triples/results.txt
Results,has,COARSE2FINE 's accuracies,results,/content/training-data/semantic_parsing/2/triples/results.txt
COARSE2FINE 's accuracies,on,aggregation agg op and agg col,results,/content/training-data/semantic_parsing/2/triples/results.txt
aggregation agg op and agg col,are,90.2 % and 92.0 %,results,/content/training-data/semantic_parsing/2/triples/results.txt
90.2 % and 92.0 %,comparable to,SQLNET,results,/content/training-data/semantic_parsing/2/triples/results.txt
Results,has,Our model,results,/content/training-data/semantic_parsing/2/triples/results.txt
Our model,superior to,ONESTAGE,results,/content/training-data/semantic_parsing/2/triples/results.txt
Our model,superior to,previous best performing systems,results,/content/training-data/semantic_parsing/2/triples/results.txt
Results,has,most gain,results,/content/training-data/semantic_parsing/2/triples/results.txt
most gain,obtained by,improved decoder,results,/content/training-data/semantic_parsing/2/triples/results.txt
improved decoder,of,WHERE clause,results,/content/training-data/semantic_parsing/2/triples/results.txt
Results,has,Sketches,results,/content/training-data/semantic_parsing/2/triples/results.txt
Sketches,produced by,COARSE2FINE,results,/content/training-data/semantic_parsing/2/triples/results.txt
COARSE2FINE,are,more accurate,results,/content/training-data/semantic_parsing/2/triples/results.txt
Results,observe,COARSE2FINE,results,/content/training-data/semantic_parsing/2/triples/results.txt
COARSE2FINE,suggests,disentangling,results,/content/training-data/semantic_parsing/2/triples/results.txt
disentangling,has,high - level,results,/content/training-data/semantic_parsing/2/triples/results.txt
high - level,from,low - level information,results,/content/training-data/semantic_parsing/2/triples/results.txt
COARSE2FINE,outperforms,ONESTAGE,results,/content/training-data/semantic_parsing/2/triples/results.txt
Results,observe,sketch encoder,results,/content/training-data/semantic_parsing/2/triples/results.txt
sketch encoder,there is,8.9 point difference,results,/content/training-data/semantic_parsing/2/triples/results.txt
8.9 point difference,in accuracy between,COARSE2FINE and the oracle,results,/content/training-data/semantic_parsing/2/triples/results.txt
sketch encoder,is,beneficial,results,/content/training-data/semantic_parsing/2/triples/results.txt
Results,predicting,sketch,results,/content/training-data/semantic_parsing/2/triples/results.txt
sketch,has,correctly,results,/content/training-data/semantic_parsing/2/triples/results.txt
sketch,boosts,performance,results,/content/training-data/semantic_parsing/2/triples/results.txt
Results,On,WIKISQL,results,/content/training-data/semantic_parsing/2/triples/results.txt
WIKISQL,has,sketches,results,/content/training-data/semantic_parsing/2/triples/results.txt
sketches,are,marginally better,results,/content/training-data/semantic_parsing/2/triples/results.txt
marginally better,compared with,ONESTAGE,results,/content/training-data/semantic_parsing/2/triples/results.txt
sketches,predicted by,COARSE2FINE,results,/content/training-data/semantic_parsing/2/triples/results.txt
Contribution,has,Model,model,/content/training-data/semantic_parsing/1/triples/model.txt
Model,has,TRANX,model,/content/training-data/semantic_parsing/1/triples/model.txt
TRANX,designed with,following principles,model,/content/training-data/semantic_parsing/1/triples/model.txt
following principles,has,Effectiveness,model,/content/training-data/semantic_parsing/1/triples/model.txt
Effectiveness,test,TRANX,model,/content/training-data/semantic_parsing/1/triples/model.txt
TRANX,on,code generation,model,/content/training-data/semantic_parsing/1/triples/model.txt
code generation,name,DJANGO,model,/content/training-data/semantic_parsing/1/triples/model.txt
code generation,name,WIKISQL,model,/content/training-data/semantic_parsing/1/triples/model.txt
TRANX,on,semantic parsing,model,/content/training-data/semantic_parsing/1/triples/model.txt
semantic parsing,name,ATIS,model,/content/training-data/semantic_parsing/1/triples/model.txt
semantic parsing,name,GEO,model,/content/training-data/semantic_parsing/1/triples/model.txt
following principles,has,Extensibility,model,/content/training-data/semantic_parsing/1/triples/model.txt
Extensibility,uses,simple transition system,model,/content/training-data/semantic_parsing/1/triples/model.txt
simple transition system,to parse,NL utterances,model,/content/training-data/semantic_parsing/1/triples/model.txt
following principles,has,Generalization ability,model,/content/training-data/semantic_parsing/1/triples/model.txt
Generalization ability,employs,ASTs,model,/content/training-data/semantic_parsing/1/triples/model.txt
ASTs,as,general - purpose intermediate meaning representation,model,/content/training-data/semantic_parsing/1/triples/model.txt
Generalization ability,has,task - dependent grammar,model,/content/training-data/semantic_parsing/1/triples/model.txt
task - dependent grammar,provided to,system,model,/content/training-data/semantic_parsing/1/triples/model.txt
system,as,external knowledge,model,/content/training-data/semantic_parsing/1/triples/model.txt
external knowledge,to guide,parsing process,model,/content/training-data/semantic_parsing/1/triples/model.txt
Model,developed,TRANX,model,/content/training-data/semantic_parsing/1/triples/model.txt
TRANX,name,TRANsition - based abstract syntaX parser,model,/content/training-data/semantic_parsing/1/triples/model.txt
TRANX,for,semantic parsing and code generation,model,/content/training-data/semantic_parsing/1/triples/model.txt
Contribution,has research problem,Semantic Parsing and Code Generation,research-problem,/content/training-data/semantic_parsing/1/triples/research-problem.txt
Contribution,has,Results,results,/content/training-data/semantic_parsing/1/triples/results.txt
Results,has,Semantic Parsing,results,/content/training-data/semantic_parsing/1/triples/results.txt
Semantic Parsing,has,Our system,results,/content/training-data/semantic_parsing/1/triples/results.txt
Our system,outperforms,existing neural network - based approaches,results,/content/training-data/semantic_parsing/1/triples/results.txt
Semantic Parsing,has,model,results,/content/training-data/semantic_parsing/1/triples/results.txt
model,achieves,slightly better accuracy,results,/content/training-data/semantic_parsing/1/triples/results.txt
slightly better accuracy,on,GEO,results,/content/training-data/semantic_parsing/1/triples/results.txt
model,without,parent feeding,results,/content/training-data/semantic_parsing/1/triples/results.txt
Results,has,Code Generation,results,/content/training-data/semantic_parsing/1/triples/results.txt
Code Generation,find,parent feeding,results,/content/training-data/semantic_parsing/1/triples/results.txt
parent feeding,yields,+ 1 point gain,results,/content/training-data/semantic_parsing/1/triples/results.txt
+ 1 point gain,in,accuracy,results,/content/training-data/semantic_parsing/1/triples/results.txt
Code Generation,find,TRANX,results,/content/training-data/semantic_parsing/1/triples/results.txt
TRANX,achieves,impressive results,results,/content/training-data/semantic_parsing/1/triples/results.txt
TRANX,outperforms,many task - specific methods,results,/content/training-data/semantic_parsing/1/triples/results.txt
Code Generation,has,TRANX,results,/content/training-data/semantic_parsing/1/triples/results.txt
TRANX,achieves,state - of - the - art results,results,/content/training-data/semantic_parsing/1/triples/results.txt
state - of - the - art results,on,DJANGO,results,/content/training-data/semantic_parsing/1/triples/results.txt
Contribution,has,Dataset,datase,/content/training-data/prosody_prediction/0/triples/dataset.txt
Dataset,will be,largest publicly available dataset,datase,/content/training-data/prosody_prediction/0/triples/dataset.txt
largest publicly available dataset,with,prosodic annotations,datase,/content/training-data/prosody_prediction/0/triples/dataset.txt
Dataset,for predicting,prosodic prominence,datase,/content/training-data/prosody_prediction/0/triples/dataset.txt
prosodic prominence,based on,recently published Libri TTS corpus,datase,/content/training-data/prosody_prediction/0/triples/dataset.txt
prosodic prominence,containing,automatically generated prosodic prominence labels,datase,/content/training-data/prosody_prediction/0/triples/dataset.txt
automatically generated prosodic prominence labels,read by,1230 different speakers,datase,/content/training-data/prosody_prediction/0/triples/dataset.txt
automatically generated prosodic prominence labels,for,over 260 hours,datase,/content/training-data/prosody_prediction/0/triples/dataset.txt
automatically generated prosodic prominence labels,for,2.8 million words,datase,/content/training-data/prosody_prediction/0/triples/dataset.txt
2.8 million words,of,English audio books,datase,/content/training-data/prosody_prediction/0/triples/dataset.txt
prosodic prominence,from,text,datase,/content/training-data/prosody_prediction/0/triples/dataset.txt
Contribution,Code,https://github.com/Helsinki - NLP / prosody,code,/content/training-data/prosody_prediction/0/triples/code.txt
Contribution,has research problem,Predicting Prosodic Prominence from Text,research-problem,/content/training-data/prosody_prediction/0/triples/research-problem.txt
Contribution,has research problem,predicting prosodic prominence from written text,research-problem,/content/training-data/prosody_prediction/0/triples/research-problem.txt
Contribution,has research problem,Prosody prediction,research-problem,/content/training-data/prosody_prediction/0/triples/research-problem.txt
Contribution,has,Experimental setup,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Experimental setup,add,one fullyconnected classifier layer,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
one fullyconnected classifier layer,mapping,representation,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
representation,of,each word,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
each word,to,labels,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
one fullyconnected classifier layer,on top of,BiLSTM,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Experimental setup,take,last hidden layer,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
last hidden layer,of,BERT,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
last hidden layer,train,single fully - connected classifier layer,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
single fully - connected classifier layer,mapping,representation,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
representation,of,each word,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
each word,to,labels,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
single fully - connected classifier layer,on,top,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Experimental setup,use,Huggingface PyTorch implementation,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Huggingface PyTorch implementation,of,BERT,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
BERT,available in,pytorch transformers library,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
BERT,further,fine - tune,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
fine - tune,during,training,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Experimental setup,use,dropout,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
dropout,of,0.2,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
0.2,between,layers of the BiLSTM,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Experimental setup,use,batch size,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
batch size,of,32,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Experimental setup,use,smaller BERT - base model,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
smaller BERT - base model,using,uncased alternative,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Experimental setup,fine - tune,model,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
model,for,2 epochs,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Experimental setup,For,conditional random field ( CRF ) model,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
conditional random field ( CRF ) model,use,MarMot,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
MarMot,with,default configuration,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Experimental setup,For,SVM,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
SVM,use,Minitagger 4 implementation,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Minitagger 4 implementation,using,each dimension,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
each dimension,of,pre-trained 300D Glo Ve 840B word embeddings,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
pre-trained 300D Glo Ve 840B word embeddings,with,context - size 1,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
pre-trained 300D Glo Ve 840B word embeddings,as,features,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Experimental setup,For,BiLSTM,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
BiLSTM,use,pre-trained 300D Glo Ve 840B word embeddings,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Experimental setup,has,models,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
models,name,BERT - base uncased,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
models,name,3 - layer 600D Bidirectional Long Short - Term Memory ( BiLSTM ,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
models,name,Minitagger ( SVM ) ) + GloVe,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
models,name,MarMoT ( CRF ,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
models,name,Majority class per word,experimental-setup,/content/training-data/prosody_prediction/0/triples/experimental-setup.txt
Contribution,has,Results,results,/content/training-data/prosody_prediction/0/triples/results.txt
Results,with,manually annotated test set from The Boston University radio news corpus,results,/content/training-data/prosody_prediction/0/triples/results.txt
manually annotated test set from The Boston University radio news corpus,has,good results,results,/content/training-data/prosody_prediction/0/triples/results.txt
good results,provide,further support,results,/content/training-data/prosody_prediction/0/triples/results.txt
further support,for,quality of the new dataset,results,/content/training-data/prosody_prediction/0/triples/results.txt
manually annotated test set from The Boston University radio news corpus,has,difference,results,/content/training-data/prosody_prediction/0/triples/results.txt
difference,has,much bigger,results,/content/training-data/prosody_prediction/0/triples/results.txt
difference,between,BERT and BiLSTM,results,/content/training-data/prosody_prediction/0/triples/results.txt
Results,For,most of the models,results,/content/training-data/prosody_prediction/0/triples/results.txt
most of the models,has,biggest improvement,results,/content/training-data/prosody_prediction/0/triples/results.txt
biggest improvement,in,performance,results,/content/training-data/prosody_prediction/0/triples/results.txt
biggest improvement,achieved when,moving,results,/content/training-data/prosody_prediction/0/triples/results.txt
moving,from,1 %,results,/content/training-data/prosody_prediction/0/triples/results.txt
1 %,of,training examples,results,/content/training-data/prosody_prediction/0/triples/results.txt
1 %,to,5 %,results,/content/training-data/prosody_prediction/0/triples/results.txt
Results,has,Minitagger SVM model 's test accuracies,results,/content/training-data/prosody_prediction/0/triples/results.txt
Minitagger SVM model 's test accuracies,are,slightly lower,results,/content/training-data/prosody_prediction/0/triples/results.txt
slightly lower,than,CRF 's,results,/content/training-data/prosody_prediction/0/triples/results.txt
CRF 's,with,80.8 % and 65.4 % test accuracies,results,/content/training-data/prosody_prediction/0/triples/results.txt
Results,has,BERTbased model,results,/content/training-data/prosody_prediction/0/triples/results.txt
BERTbased model,gets,highest accuracy,results,/content/training-data/prosody_prediction/0/triples/results.txt
highest accuracy,of,83.2 % and 68.6 %,results,/content/training-data/prosody_prediction/0/triples/results.txt
83.2 % and 68.6 %,in,2 - way and 3 - way classification tasks,results,/content/training-data/prosody_prediction/0/triples/results.txt
Results,has,3layer BiLSTM,results,/content/training-data/prosody_prediction/0/triples/results.txt
3layer BiLSTM,achieves,82.1 %,results,/content/training-data/prosody_prediction/0/triples/results.txt
82.1 %,in,2 - way classification,results,/content/training-data/prosody_prediction/0/triples/results.txt
3layer BiLSTM,achieves,66.4 %,results,/content/training-data/prosody_prediction/0/triples/results.txt
66.4 %,in,3 - way classification task,results,/content/training-data/prosody_prediction/0/triples/results.txt
Results,has,traditional feature - based classifiers,results,/content/training-data/prosody_prediction/0/triples/results.txt
traditional feature - based classifiers,perform,slightly below,results,/content/training-data/prosody_prediction/0/triples/results.txt
slightly below,has,neural network models,results,/content/training-data/prosody_prediction/0/triples/results.txt
neural network models,with,CRF,results,/content/training-data/prosody_prediction/0/triples/results.txt
CRF,obtaining,81.8 % and 66.4 %,results,/content/training-data/prosody_prediction/0/triples/results.txt
81.8 % and 66.4 %,for,two classification tasks,results,/content/training-data/prosody_prediction/0/triples/results.txt
Results,has,All models,results,/content/training-data/prosody_prediction/0/triples/results.txt
All models,reached close to,full predictive capacity,results,/content/training-data/prosody_prediction/0/triples/results.txt
full predictive capacity,with,only 10 % of the training examples,results,/content/training-data/prosody_prediction/0/triples/results.txt
All models,has,3 - way classification accuracy,results,/content/training-data/prosody_prediction/0/triples/results.txt
3 - way classification accuracy,stays below,70 %,results,/content/training-data/prosody_prediction/0/triples/results.txt
All models,reach over,80 %,results,/content/training-data/prosody_prediction/0/triples/results.txt
80 %,in,2 - way classification task,results,/content/training-data/prosody_prediction/0/triples/results.txt
Results,taking,simple majority class per word,results,/content/training-data/prosody_prediction/0/triples/results.txt
simple majority class per word,gives,80.2 %,results,/content/training-data/prosody_prediction/0/triples/results.txt
80.2 %,for,2 - way classification task,results,/content/training-data/prosody_prediction/0/triples/results.txt
simple majority class per word,gives,62.4 %,results,/content/training-data/prosody_prediction/0/triples/results.txt
62.4 %,for,3 - way classification task,results,/content/training-data/prosody_prediction/0/triples/results.txt
Contribution,has,Baselines,baselines,/content/training-data/question_generation/0/triples/baselines.txt
Baselines,has,PCFG - Trans,baselines,/content/training-data/question_generation/0/triples/baselines.txt
PCFG - Trans,has,rule - based system,baselines,/content/training-data/question_generation/0/triples/baselines.txt
Baselines,has,NQG,baselines,/content/training-data/question_generation/0/triples/baselines.txt
NQG,extend,s 2s+ att,baselines,/content/training-data/question_generation/0/triples/baselines.txt
s 2s+ att,with,feature - rich encoder,baselines,/content/training-data/question_generation/0/triples/baselines.txt
feature - rich encoder,to build,NQG system,baselines,/content/training-data/question_generation/0/triples/baselines.txt
Baselines,has,NQG + Pretrain,baselines,/content/training-data/question_generation/0/triples/baselines.txt
NQG + Pretrain,Based on,NQG +,baselines,/content/training-data/question_generation/0/triples/baselines.txt
NQG +,initialize,word embedding matrix,baselines,/content/training-data/question_generation/0/triples/baselines.txt
word embedding matrix,with,pre-trained GloVe vectors,baselines,/content/training-data/question_generation/0/triples/baselines.txt
Baselines,has,NQG ++,baselines,/content/training-data/question_generation/0/triples/baselines.txt
NQG ++,Based on,NQG +,baselines,/content/training-data/question_generation/0/triples/baselines.txt
NQG +,use,pre-train word embedding and STshare methods,baselines,/content/training-data/question_generation/0/triples/baselines.txt
pre-train word embedding and STshare methods,to further improve,performance,baselines,/content/training-data/question_generation/0/triples/baselines.txt
Baselines,has,s 2 s+ att,baselines,/content/training-data/question_generation/0/triples/baselines.txt
